Age;Job;Marital;Education;Default;Balance;Housing;Loan;Contact;Day;Month;Duration;Campaign;Pdays;Previous;Poutcome;Y
58;Management;Married;Tertiary;No;2143;Yes;No;Unknown;5;May;261;1;-1;0;Unknown;No
44;Technician;Single;Secondary;No;29;Yes;No;Unknown;5;May;151;1;-1;0;Unknown;No
33;Entrepreneur;Married;Secondary;No;2;Yes;Yes;Unknown;5;May;76;1;-1;0;Unknown;No
47;Blue-collar;Married;Unknown;No;1506;Yes;No;Unknown;5;May;92;1;-1;0;Unknown;No
33;Unknown;Single;Unknown;No;1;No;No;Unknown;5;May;198;1;-1;0;Unknown;No
35;Management;Married;Tertiary;No;231;Yes;No;Unknown;5;May;139;1;-1;0;Unknown;No
28;Management;Single;Tertiary;No;447;Yes;Yes;Unknown;5;May;217;1;-1;0;Unknown;No
42;Entrepreneur;Divorced;Tertiary;Yes;2;Yes;No;Unknown;5;May;380;1;-1;0;Unknown;No
58;Retired;Married;Primary;No;121;Yes;No;Unknown;5;May;50;1;-1;0;Unknown;No
43;Technician;Single;Secondary;No;593;Yes;No;Unknown;5;May;55;1;-1;0;Unknown;No
41;Admin;Divorced;Secondary;No;270;Yes;No;Unknown;5;May;222;1;-1;0;Unknown;No
29;Admin;Single;Secondary;No;390;Yes;No;Unknown;5;May;137;1;-1;0;Unknown;No
53;Technician;Married;Secondary;No;6;Yes;No;Unknown;5;May;517;1;-1;0;Unknown;No
58;Technician;Married;Unknown;No;71;Yes;No;Unknown;5;May;71;1;-1;0;Unknown;No
57;Services;Married;Secondary;No;162;Yes;No;Unknown;5;May;174;1;-1;0;Unknown;No
51;Retired;Married;Primary;No;229;Yes;No;Unknown;5;May;353;1;-1;0;Unknown;No
45;Admin;Single;Unknown;No;13;Yes;No;Unknown;5;May;98;1;-1;0;Unknown;No
57;Blue-collar;Married;Primary;No;52;Yes;No;Unknown;5;May;38;1;-1;0;Unknown;No
60;Retired;Married;Primary;No;60;Yes;No;Unknown;5;May;219;1;-1;0;Unknown;No
33;Services;Married;Secondary;No;0;Yes;No;Unknown;5;May;54;1;-1;0;Unknown;No
28;Blue-collar;Married;Secondary;No;723;Yes;Yes;Unknown;5;May;262;1;-1;0;Unknown;No
56;Management;Married;Tertiary;No;779;Yes;No;Unknown;5;May;164;1;-1;0;Unknown;No
32;Blue-collar;Single;Primary;No;23;Yes;Yes;Unknown;5;May;160;1;-1;0;Unknown;No
25;Services;Married;Secondary;No;50;Yes;No;Unknown;5;May;342;1;-1;0;Unknown;No
40;Retired;Married;Primary;No;0;Yes;Yes;Unknown;5;May;181;1;-1;0;Unknown;No
44;Admin;Married;Secondary;No;-372;Yes;No;Unknown;5;May;172;1;-1;0;Unknown;No
39;Management;Single;Tertiary;No;255;Yes;No;Unknown;5;May;296;1;-1;0;Unknown;No
52;Entrepreneur;Married;Secondary;No;113;Yes;Yes;Unknown;5;May;127;1;-1;0;Unknown;No
46;Management;Single;Secondary;No;-246;Yes;No;Unknown;5;May;255;2;-1;0;Unknown;No
36;Technician;Single;Secondary;No;265;Yes;Yes;Unknown;5;May;348;1;-1;0;Unknown;No
57;Technician;Married;Secondary;No;839;No;Yes;Unknown;5;May;225;1;-1;0;Unknown;No
49;Management;Married;Tertiary;No;378;Yes;No;Unknown;5;May;230;1;-1;0;Unknown;No
60;Admin;Married;Secondary;No;39;Yes;Yes;Unknown;5;May;208;1;-1;0;Unknown;No
59;Blue-collar;Married;Secondary;No;0;Yes;No;Unknown;5;May;226;1;-1;0;Unknown;No
51;Management;Married;Tertiary;No;10635;Yes;No;Unknown;5;May;336;1;-1;0;Unknown;No
57;Technician;Divorced;Secondary;No;63;Yes;No;Unknown;5;May;242;1;-1;0;Unknown;No
25;Blue-collar;Married;Secondary;No;-7;Yes;No;Unknown;5;May;365;1;-1;0;Unknown;No
